iter	Passed	Remaining
0	144	144831
1	146	73250
2	149	49654
3	151	37682
4	152	30318
5	153	25411
6	154	21904
7	155	19252
8	156	17223
9	158	15668
10	160	14406
11	162	13351
12	163	12442
13	164	11618
14	166	10918
15	167	10282
16	168	9714
17	169	9234
18	170	8786
19	171	8386
20	171	8014
21	172	7677
22	173	7385
23	174	7101
24	175	6842
25	176	6598
26	177	6379
27	177	6172
28	178	5974
29	179	5789
30	179	5615
31	180	5454
32	181	5305
33	181	5163
34	182	5025
35	182	4898
36	183	4783
37	184	4669
38	185	4558
39	185	4452
40	186	4352
41	186	4257
42	187	4167
43	187	4081
44	188	4001
45	189	3921
46	189	3845
47	190	3775
48	191	3707
49	191	3640
50	192	3574
51	192	3511
52	193	3452
53	193	3395
54	194	3338
55	194	3285
56	195	3233
57	195	3183
58	196	3136
59	197	3094
60	198	3048
61	198	3004
62	199	2961
63	199	2919
64	200	2879
65	200	2840
66	201	2801
67	201	2764
68	202	2729
69	203	2697
70	203	2665
71	204	2635
72	204	2602
73	205	2570
74	205	2540
75	206	2511
76	207	2484
77	207	2455
78	208	2427
79	208	2401
80	209	2375
81	209	2349
82	210	2322
83	211	2301
84	211	2277
85	212	2253
86	212	2231
87	213	2208
88	213	2186
89	214	2167
90	214	2146
91	215	2125
92	215	2105
93	216	2086
94	217	2071
95	218	2053
96	218	2035
97	219	2018
98	219	2001
99	220	1985
100	221	1970
101	222	1955
102	222	1939
103	223	1924
104	223	1909
105	224	1894
106	225	1880
107	226	1868
108	226	1853
109	227	1838
110	227	1824
111	228	1811
112	229	1798
113	229	1784
114	230	1770
115	230	1759
116	231	1745
117	232	1734
118	232	1723
119	233	1713
120	234	1703
121	235	1692
122	235	1681
123	236	1670
124	237	1659
125	237	1648
126	237	1636
127	238	1625
128	239	1616
129	239	1606
130	240	1596
131	241	1586
132	241	1576
133	242	1566
134	243	1557
135	243	1547
136	244	1537
137	244	1527
138	245	1518
139	245	1509
140	246	1500
141	246	1490
142	247	1482
143	248	1475
144	249	1468
145	249	1461
146	250	1453
147	251	1445
148	251	1436
149	252	1428
150	252	1420
151	253	1412
152	253	1405
153	254	1397
154	254	1389
155	255	1383
156	256	1376
157	257	1370
158	257	1364
159	258	1357
160	258	1349
161	259	1342
162	260	1335
163	260	1329
164	261	1322
165	262	1316
166	262	1310
167	263	1304
168	264	1298
169	264	1292
170	265	1286
171	265	1279
172	266	1273
173	266	1267
174	267	1261
175	268	1255
176	268	1249
177	269	1243
178	269	1238
179	270	1232
180	271	1228
181	272	1223
182	272	1217
183	273	1211
184	273	1205
185	274	1200
186	274	1195
187	275	1191
188	276	1187
189	277	1183
190	278	1178
191	278	1173
192	279	1168
193	280	1163
194	280	1159
195	281	1155
196	282	1150
197	282	1145
198	283	1140
199	284	1136
200	284	1131
201	285	1127
202	286	1123
203	286	1118
204	287	1114
205	287	1109
206	288	1105
207	289	1100
208	289	1096
209	290	1092
210	291	1088
211	291	1084
212	292	1081
213	293	1077
214	293	1072
215	294	1068
216	295	1064
217	295	1060
218	296	1057
219	297	1053
220	297	1048
221	298	1044
222	298	1040
223	299	1036
224	299	1032
225	300	1029
226	301	1025
227	301	1022
228	302	1018
229	303	1015
230	303	1011
231	304	1008
232	305	1004
233	305	1001
234	306	997
235	307	994
236	308	991
237	308	988
238	309	985
239	310	981
240	310	978
241	311	975
242	312	972
243	312	968
244	313	965
245	313	962
246	314	958
247	315	955
248	315	952
249	316	948
250	316	945
251	317	941
252	317	937
253	318	934
254	318	930
255	319	927
256	319	924
257	320	921
258	321	919
259	322	916
260	322	914
261	323	911
262	323	907
263	324	905
264	325	902
265	325	898
266	326	895
267	326	892
268	327	890
269	328	886
270	328	884
271	329	881
272	330	879
273	330	876
274	331	874
275	332	871
276	333	869
277	333	866
278	334	863
279	334	860
280	335	858
281	335	855
282	336	852
283	336	849
284	337	846
285	337	843
286	338	840
287	338	837
288	339	834
289	339	831
290	340	829
291	340	826
292	341	823
293	341	820
294	342	817
295	342	815
296	343	813
297	344	811
298	345	809
299	345	806
300	346	803
301	346	801
302	347	798
303	347	796
304	348	793
305	348	791
306	349	788
307	349	785
308	350	783
309	351	781
310	351	779
311	352	777
312	352	774
313	353	772
314	354	770
315	354	768
316	355	765
317	355	763
318	356	760
319	356	758
